"x","y","counts"
0,0,91322.0546875
0,1000000,48764.171875
1000000,1000000,82758.7109375
0,2000000,29841.845703125
1000000,2000000,49553.078125
2000000,2000000,79065.6875
0,3000000,14955.1435546875
1000000,3000000,16869.44140625
2000000,3000000,29000.73828125
3000000,3000000,72212.609375
0,4000000,6623.0791015625
1000000,4000000,6434.43994140625
2000000,4000000,9205.6123046875
3000000,4000000,33448.328125
4000000,4000000,66188.734375
0,5000000,3553.01708984375
1000000,5000000,3295.9541015625
2000000,5000000,4254.56640625
3000000,5000000,8776.298828125
4000000,5000000,31023.796875
5000000,5000000,65230.59765625
0,6000000,4235.27294921875
1000000,6000000,4324.19287109375
2000000,6000000,5321.0595703125
3000000,6000000,7725.5732421875
4000000,6000000,8960.5576171875
5000000,6000000,34040.34765625
6000000,6000000,74065.8359375
0,7000000,3849.85864257812
1000000,7000000,3807.37182617188
2000000,7000000,4336.572265625
3000000,7000000,5600.2412109375
4000000,7000000,6285.1337890625
5000000,7000000,15715.9599609375
6000000,7000000,36128.1328125
7000000,7000000,73861.046875
0,8000000,2273.48828125
1000000,8000000,1983.40148925781
2000000,8000000,2307.9765625
3000000,8000000,3442.91162109375
4000000,8000000,6073.85888671875
5000000,8000000,11469.103515625
6000000,8000000,14290.60546875
7000000,8000000,32700.333984375
8000000,8000000,67920.953125
0,9000000,662.188110351562
1000000,9000000,497.750122070312
2000000,9000000,519.0341796875
3000000,9000000,742.322448730469
4000000,9000000,2262.77685546875
5000000,9000000,2460.35424804688
6000000,9000000,1528.15344238281
7000000,9000000,2439.052734375
8000000,9000000,19886.306640625
9000000,9000000,94937.4921875
0,10000000,483.149932861328
1000000,10000000,429.985076904297
2000000,10000000,456.290283203125
3000000,10000000,590.72998046875
4000000,10000000,1056.5654296875
5000000,10000000,1095.17370605469
6000000,10000000,990.004333496094
7000000,10000000,1398.18334960938
8000000,10000000,4421.4052734375
9000000,10000000,33270.828125
10000000,10000000,95352.640625
0,11000000,417.758392333984
1000000,11000000,362.080322265625
2000000,11000000,378.687683105469
3000000,11000000,483.420104980469
4000000,11000000,988.5654296875
5000000,11000000,1007.52978515625
6000000,11000000,687.288940429688
7000000,11000000,859.557678222656
8000000,11000000,2260.16381835938
9000000,11000000,6441.564453125
10000000,11000000,29890.033203125
11000000,11000000,96757.6015625
0,12000000,425.218017578125
1000000,12000000,347.358734130859
2000000,12000000,367.287780761719
3000000,12000000,496.274444580078
4000000,12000000,890.341186523438
5000000,12000000,828.715515136719
6000000,12000000,560.909057617188
7000000,12000000,692.646606445312
8000000,12000000,1563.79626464844
9000000,12000000,3806.23950195312
10000000,12000000,9466.1923828125
11000000,12000000,30744.478515625
12000000,12000000,109136.4140625
0,13000000,574.284301757812
1000000,13000000,440.4970703125
2000000,13000000,454.129180908203
3000000,13000000,632.826293945312
4000000,13000000,850.957458496094
5000000,13000000,865.450805664062
6000000,13000000,564.738159179688
7000000,13000000,798.904663085938
8000000,13000000,1616.01989746094
9000000,13000000,3128.8291015625
10000000,13000000,5793.73828125
11000000,13000000,8119.3466796875
12000000,13000000,24324.87109375
13000000,13000000,119658.6953125
0,14000000,834.094299316406
1000000,14000000,747.025268554688
2000000,14000000,746.952087402344
3000000,14000000,929.407531738281
4000000,14000000,1093.47326660156
5000000,14000000,1119.50354003906
6000000,14000000,925.643249511719
7000000,14000000,1120.47998046875
8000000,14000000,1788.60473632812
9000000,14000000,2772.42724609375
10000000,14000000,4522.6259765625
11000000,14000000,4617.0244140625
12000000,14000000,6495.78759765625
13000000,14000000,39598.4296875
14000000,14000000,104738.4296875
0,15000000,778.658142089844
1000000,15000000,574.760437011719
2000000,15000000,610.997192382812
3000000,15000000,735.259765625
4000000,15000000,1262.8974609375
5000000,15000000,1122.44030761719
6000000,15000000,666.848937988281
7000000,15000000,871.523986816406
8000000,15000000,1863.49462890625
9000000,15000000,2423.529296875
10000000,15000000,2223.52880859375
11000000,15000000,2701.4228515625
12000000,15000000,3553.10473632812
13000000,15000000,6638.63720703125
14000000,15000000,23885.44921875
15000000,15000000,88939.9453125
0,16000000,1635.25671386719
1000000,16000000,1437.68908691406
2000000,16000000,1345.57678222656
3000000,16000000,1573.82922363281
4000000,16000000,1525.07604980469
5000000,16000000,1450.89367675781
6000000,16000000,1563.95544433594
7000000,16000000,1881.11608886719
8000000,16000000,2014.80407714844
9000000,16000000,1200.99951171875
10000000,16000000,1069.62341308594
11000000,16000000,1270.05847167969
12000000,16000000,1323.69213867188
13000000,16000000,2235.92578125
14000000,16000000,5621.2353515625
15000000,16000000,29932.3203125
16000000,16000000,66888.4140625
0,17000000,1371.6201171875
1000000,17000000,1109.41784667969
2000000,17000000,1187.25341796875
3000000,17000000,1333.50451660156
4000000,17000000,1451.22143554688
5000000,17000000,1446.70544433594
6000000,17000000,1423.35693359375
7000000,17000000,1641.62780761719
8000000,17000000,1946.83325195312
9000000,17000000,967.036926269531
10000000,17000000,851.193603515625
11000000,17000000,1071.15258789062
12000000,17000000,1263.91357421875
13000000,17000000,1753.828125
14000000,17000000,3391.62280273438
15000000,17000000,7429.1171875
16000000,17000000,31366.15234375
17000000,17000000,68845.109375
0,18000000,1914.47973632812
1000000,18000000,1760.55969238281
2000000,18000000,1768.82067871094
3000000,18000000,1956.55517578125
4000000,18000000,1525.78295898438
5000000,18000000,1605.41711425781
6000000,18000000,2059.025390625
7000000,18000000,2236.70947265625
8000000,18000000,1836.67553710938
9000000,18000000,547.390380859375
10000000,18000000,566.728088378906
11000000,18000000,661.612060546875
12000000,18000000,717.544067382812
13000000,18000000,976.109436035156
14000000,18000000,1955.19995117188
15000000,18000000,3247.53149414062
16000000,18000000,15031.1162109375
17000000,18000000,34138.296875
18000000,18000000,70606.3203125
0,19000000,2318.62353515625
1000000,19000000,2035.24560546875
2000000,19000000,1999.87573242188
3000000,19000000,2002.68017578125
4000000,19000000,1362.88989257812
5000000,19000000,1512.73999023438
6000000,19000000,2231.41064453125
7000000,19000000,2375.47241210938
8000000,19000000,1511.82006835938
9000000,19000000,426.033874511719
10000000,19000000,432.620544433594
11000000,19000000,425.016174316406
12000000,19000000,482.898132324219
13000000,19000000,655.721618652344
14000000,19000000,1427.64807128906
15000000,19000000,1707.32739257812
16000000,19000000,7134.42578125
17000000,19000000,8861.7158203125
18000000,19000000,26221.17578125
19000000,19000000,70685.1328125
0,20000000,2027.4208984375
1000000,20000000,1738.12683105469
2000000,20000000,1682.6171875
3000000,20000000,1600.63903808594
4000000,20000000,1251.15734863281
5000000,20000000,1298.76977539062
6000000,20000000,1609.32397460938
7000000,20000000,1773.12158203125
8000000,20000000,1443.61254882812
9000000,20000000,538.211730957031
10000000,20000000,464.432830810547
11000000,20000000,531.161926269531
12000000,20000000,587.505004882812
13000000,20000000,752.988220214844
14000000,20000000,1214.12890625
15000000,20000000,1835.73864746094
16000000,20000000,3750.89282226562
17000000,20000000,4859.88623046875
18000000,20000000,8539.8408203125
19000000,20000000,31507.923828125
20000000,20000000,61394.82421875
0,21000000,2483.2138671875
1000000,21000000,2287.87939453125
2000000,21000000,2372.36474609375
3000000,21000000,1797.64489746094
4000000,21000000,1098.80200195312
5000000,21000000,1166.36071777344
6000000,21000000,2052.080078125
7000000,21000000,1995.08190917969
8000000,21000000,1271.7265625
9000000,21000000,342.442565917969
10000000,21000000,324.841583251953
11000000,21000000,357.581298828125
12000000,21000000,408.616516113281
13000000,21000000,452.752655029297
14000000,21000000,838.885375976562
15000000,21000000,974.106994628906
16000000,21000000,3039.06127929688
17000000,21000000,3224.48022460938
18000000,21000000,6651.54296875
19000000,21000000,17505.654296875
20000000,21000000,39833.40234375
21000000,21000000,70098.0546875
0,22000000,1686.38098144531
1000000,22000000,1494.08776855469
2000000,22000000,1465.76696777344
3000000,22000000,1364.54077148438
4000000,22000000,1037.96057128906
5000000,22000000,994.285949707031
6000000,22000000,1288.59838867188
7000000,22000000,1384.32861328125
8000000,22000000,1115.58459472656
9000000,22000000,370.421356201172
10000000,22000000,316.024566650391
11000000,22000000,400.930267333984
12000000,22000000,400.859039306641
13000000,22000000,450.875610351562
14000000,22000000,751.718566894531
15000000,22000000,1040.58215332031
16000000,22000000,2214.94091796875
17000000,22000000,2655.6591796875
18000000,22000000,4403.99560546875
19000000,22000000,8808.2900390625
20000000,22000000,14460.3115234375
21000000,22000000,23565.998046875
22000000,22000000,69304.953125
0,23000000,671.401672363281
1000000,23000000,483.200134277344
2000000,23000000,492.344268798828
3000000,23000000,582.697509765625
4000000,23000000,970.953063964844
5000000,23000000,828.698974609375
6000000,23000000,500.957916259766
7000000,23000000,571.367919921875
8000000,23000000,1208.388671875
9000000,23000000,1243.52746582031
10000000,23000000,786.339233398438
11000000,23000000,1129.81896972656
12000000,23000000,1258.02880859375
13000000,23000000,1278.04345703125
14000000,23000000,1469.52221679688
15000000,23000000,2319.5634765625
16000000,23000000,1912.62829589844
17000000,23000000,2516.33862304688
18000000,23000000,1958.84704589844
19000000,23000000,2279.43237304688
20000000,23000000,4670.5859375
21000000,23000000,4212.83251953125
22000000,23000000,22991.873046875
23000000,23000000,79674.078125
0,24000000,762.176147460938
1000000,24000000,538.409057617188
2000000,24000000,581.849670410156
3000000,24000000,708.883605957031
4000000,24000000,917.773376464844
5000000,24000000,789.956176757812
6000000,24000000,612.122375488281
7000000,24000000,648.96875
8000000,24000000,1044.82458496094
9000000,24000000,846.511352539062
10000000,24000000,562.587158203125
11000000,24000000,783.159240722656
12000000,24000000,788.02197265625
13000000,24000000,815.662475585938
14000000,24000000,992.895935058594
15000000,24000000,1476.458984375
16000000,24000000,1378.38623046875
17000000,24000000,1868.23583984375
18000000,24000000,1649.01916503906
19000000,24000000,1953.63073730469
20000000,24000000,3268.9765625
21000000,24000000,3590.53295898438
22000000,24000000,10707.6123046875
23000000,24000000,25091.39453125
24000000,24000000,73706.515625
0,25000000,1336.73876953125
1000000,25000000,1162.64282226562
2000000,25000000,1096.40808105469
3000000,25000000,1165.58850097656
4000000,25000000,925.601806640625
5000000,25000000,883.221984863281
6000000,25000000,1036.42016601562
7000000,25000000,1106.63598632812
8000000,25000000,971.663208007812
9000000,25000000,347.655212402344
10000000,25000000,286.095245361328
11000000,25000000,297.664825439453
12000000,25000000,317.747772216797
13000000,25000000,349.017822265625
14000000,25000000,517.527221679688
15000000,25000000,636.980102539062
16000000,25000000,1403.29187011719
17000000,25000000,1617.6669921875
18000000,25000000,2332.26293945312
19000000,25000000,3274.57861328125
20000000,25000000,4170.81005859375
21000000,25000000,5622.96240234375
22000000,25000000,10283.09765625
23000000,25000000,6402.2841796875
24000000,25000000,27559.251953125
25000000,25000000,65315.71875
0,26000000,2062.009765625
1000000,26000000,1829.09411621094
2000000,26000000,1738.26416015625
3000000,26000000,1486.14184570312
4000000,26000000,858.77783203125
5000000,26000000,882.4970703125
6000000,26000000,1394.71508789062
7000000,26000000,1445.34448242188
8000000,26000000,817.050598144531
9000000,26000000,199.234603881836
10000000,26000000,227.617691040039
11000000,26000000,194.128829956055
12000000,26000000,214.020446777344
13000000,26000000,292.972686767578
14000000,26000000,403.526733398438
15000000,26000000,374.012542724609
16000000,26000000,1361.38439941406
17000000,26000000,1291.33837890625
18000000,26000000,2522.79516601562
19000000,26000000,3989.91088867188
20000000,26000000,4005.22021484375
21000000,26000000,6210.06884765625
22000000,26000000,6498.08837890625
23000000,26000000,2083.74951171875
24000000,26000000,6812.623046875
25000000,26000000,30831.55078125
26000000,26000000,75480.015625
0,27000000,1163.72058105469
1000000,27000000,918.166259765625
2000000,27000000,866.644958496094
3000000,27000000,936.978393554688
4000000,27000000,860.587524414062
5000000,27000000,766.911437988281
6000000,27000000,765.303039550781
7000000,27000000,913.684020996094
8000000,27000000,978.255920410156
9000000,27000000,485.697845458984
10000000,27000000,301.17333984375
11000000,27000000,409.438842773438
12000000,27000000,386.048614501953
13000000,27000000,428.495727539062
14000000,27000000,621.459106445312
15000000,27000000,796.913513183594
16000000,27000000,1190.63635253906
17000000,27000000,1413.43603515625
18000000,27000000,1706.71166992188
19000000,27000000,2048.57177734375
20000000,27000000,2366.92993164062
21000000,27000000,2618.11645507812
22000000,27000000,2883.57202148438
23000000,27000000,2950.77856445312
24000000,27000000,4934.2431640625
25000000,27000000,10018.5732421875
26000000,27000000,22970.798828125
27000000,27000000,64840.9921875
0,28000000,1291.03100585938
1000000,28000000,1029.7705078125
2000000,28000000,1046.45202636719
3000000,28000000,1002.66442871094
4000000,28000000,711.52001953125
5000000,28000000,668.953979492188
6000000,28000000,830.989562988281
7000000,28000000,920.008056640625
8000000,28000000,746.471130371094
9000000,28000000,264.412322998047
10000000,28000000,213.347518920898
11000000,28000000,256.891174316406
12000000,28000000,258.716735839844
13000000,28000000,271.214996337891
14000000,28000000,411.640563964844
15000000,28000000,526.44580078125
16000000,28000000,1045.56921386719
17000000,28000000,1167.02404785156
18000000,28000000,1640.33032226562
19000000,28000000,1964.22692871094
20000000,28000000,1944.67907714844
21000000,28000000,2328.11376953125
22000000,28000000,2258.60498046875
