"chr","start","end","Level"
"chr3",440000,550000,3
"chr3",540000,650000,3
"chr3",1750000,1860000,3
"chr3",2330000,2430000,3
"chr3",3000000,3100000,3
"chr3",3480000,3590000,3
"chr3",4310000,4420000,3
"chr3",4460000,4560000,3
"chr3",5110000,5220000,3
"chr3",5630000,5740000,3
"chr3",5730000,5840000,3
"chr3",5960000,6070000,3
"chr3",6200000,6310000,3
"chr3",7460000,7570000,3
"chr3",7900000,8000000,3
"chr3",8660000,8760000,3
"chr3",9470000,9580000,3
"chr3",10280000,10380000,3
"chr3",11080000,11190000,3
"chr3",11180000,11280000,3
"chr3",11270000,11380000,3
"chr3",11380000,11490000,3
"chr3",11730000,11830000,3
"chr3",12860000,12970000,3
"chr3",13240000,13340000,3
"chr3",13750000,13850000,3
"chr3",14270000,14370000,3
"chr3",14560000,14670000,3
"chr3",15780000,15890000,3
"chr3",16190000,16290000,3
"chr3",17100000,17200000,3
"chr3",17310000,17420000,3
"chr3",18240000,18340000,3
"chr3",18400000,18500000,3
"chr3",19340000,19450000,3
"chr3",19870000,19980000,3
"chr3",19970000,20080000,3
"chr3",20070000,20170000,3
"chr3",20070000,20170000,3
"chr3",20300000,20400000,3
"chr3",20930000,21030000,3
"chr3",21020000,21130000,3
"chr3",21260000,21360000,3
"chr3",21540000,21650000,3
"chr3",22050000,22160000,3
"chr3",22540000,22650000,3
"chr3",23200000,23300000,3
"chr3",24610000,24720000,3
"chr3",25050000,25160000,3
"chr3",26060000,26160000,3
"chr3",26970000,27070000,3
"chr3",27060000,27160000,3
"chr3",27440000,27540000,3
"chr3",27610000,27730000,3
"chr3",27720000,27870000,3
"chr3",27910000,28010000,3
"chr3",28440000,28540000,3
"chr3",28530000,28630000,3
"chr3",28690000,28800000,3
"chr3",28790000,28890000,3
"chr3",28880000,28990000,3
"chr3",29180000,29280000,3
"chr3",30060000,30160000,3
"chr3",30150000,30250000,3
"chr3",30500000,30600000,3
"chr3",30940000,31040000,3
"chr3",31360000,31460000,3
"chr3",31560000,31670000,3
"chr3",31660000,31760000,3
"chr3",31900000,32000000,3
"chr3",32060000,32170000,3
"chr3",32300000,32400000,3
"chr3",33170000,33280000,3
"chr3",33600000,33710000,3
"chr3",33820000,33930000,3
"chr3",34320000,34430000,3
"chr3",34480000,34580000,3
"chr3",34640000,34740000,3
"chr3",35850000,35950000,3
"chr3",37460000,37570000,3
"chr3",37630000,37730000,3
"chr3",38210000,38310000,3
"chr3",38300000,38400000,3
"chr3",39180000,39280000,3
"chr3",39270000,39370000,3
"chr3",39360000,39470000,3
"chr3",39740000,39840000,3
"chr3",39830000,39940000,3
"chr3",40790000,40900000,3
"chr3",40890000,41000000,3
"chr3",42140000,42240000,3
"chr3",42320000,42420000,3
"chr3",42720000,42820000,3
"chr3",42810000,42910000,3
"chr3",43260000,43370000,3
"chr3",43360000,43470000,3
"chr3",43680000,43790000,3
"chr3",43910000,44020000,3
"chr3",44010000,44120000,3
"chr3",44220000,44320000,3
"chr3",44310000,44420000,3
"chr3",45540000,45640000,3
"chr3",45630000,45730000,3
"chr3",46520000,46620000,3
"chr3",46690000,46790000,3
"chr3",47010000,47130000,3
"chr3",47220000,47320000,3
"chr3",47310000,47410000,3
"chr3",47910000,48010000,3
"chr3",48340000,48490000,3
"chr3",48820000,48920000,3
"chr3",50660000,50760000,3
"chr3",50890000,51000000,3
"chr3",51640000,51750000,3
"chr3",52710000,52810000,3
"chr3",53030000,53130000,3
"chr3",53120000,53220000,3
"chr3",53330000,53440000,3
"chr3",53430000,53540000,3
"chr3",53530000,53640000,3
"chr3",53700000,53810000,3
"chr3",54100000,54210000,3
"chr3",54340000,54450000,3
"chr3",55400000,55500000,3
"chr3",55490000,55600000,3
"chr3",55650000,55750000,3
"chr3",56000000,56110000,3
"chr3",56100000,56200000,3
"chr3",56810000,56910000,3
"chr3",57460000,57560000,3
"chr3",57610000,57710000,3
"chr3",58550000,58650000,3
"chr3",58990000,59090000,3
"chr3",59770000,59880000,3
"chr3",60930000,61030000,3
"chr3",61020000,61130000,3
"chr3",61760000,61870000,3
"chr3",61990000,62100000,3
"chr3",62140000,62250000,3
"chr3",62240000,62340000,3
"chr3",63430000,63530000,3
"chr3",63720000,63830000,3
"chr3",63820000,63930000,3
"chr3",64270000,64380000,3
"chr3",64720000,64830000,3
"chr3",64880000,64990000,3
"chr3",65280000,65380000,3
"chr3",65370000,65470000,3
"chr3",66040000,66140000,3
"chr3",66490000,66600000,3
"chr3",67070000,67170000,3
"chr3",67160000,67260000,3
"chr3",67710000,67810000,3
"chr3",67880000,67980000,3
"chr3",67970000,68080000,3
"chr3",68070000,68170000,3
"chr3",68160000,68270000,3
"chr3",68260000,68360000,3
"chr3",69150000,69250000,3
"chr3",69780000,69890000,3
"chr3",70140000,70250000,3
"chr3",70790000,70890000,3
"chr3",71220000,71320000,3
"chr3",71360000,71460000,3
"chr3",71680000,71780000,3
"chr3",72640000,72740000,3
"chr3",73300000,73410000,3
"chr3",73520000,73630000,3
"chr3",74050000,74160000,3
"chr3",74820000,74930000,3
"chr3",75110000,75210000,3
"chr3",76180000,76290000,3
"chr3",76330000,76430000,3
"chr3",77450000,77550000,3
"chr3",79090000,79190000,3
"chr3",79360000,79460000,3
"chr3",81130000,81230000,3
"chr3",82370000,82480000,3
"chr3",82550000,82660000,3
"chr3",82940000,83040000,3
"chr3",83870000,83980000,3
"chr3",85640000,85750000,3
"chr3",85860000,85970000,3
"chr3",85960000,86060000,3
"chr3",86420000,86520000,3
"chr3",86510000,86610000,3
"chr3",86850000,86960000,3
"chr3",86950000,87050000,3
"chr3",87040000,87180000,3
"chr3",87300000,87410000,3
"chr3",90230000,90330000,3
"chr3",91910000,92010000,3
"chr3",95790000,95890000,3
"chr3",96130000,96230000,3
"chr3",96840000,96940000,3
"chr3",97430000,97540000,3
"chr3",97530000,97640000,3
"chr3",97530000,97640000,3
"chr3",98320000,98430000,3
"chr3",98610000,98720000,3
"chr3",98710000,98820000,3
"chr3",98810000,98920000,3
"chr3",98910000,99020000,3
"chr3",99270000,99370000,3
"chr3",99360000,99470000,3
"chr3",99460000,99570000,3
"chr3",99950000,100050000,3
"chr3",100710000,100810000,3
"chr3",101350000,101450000,3
"chr3",101440000,101540000,3
"chr3",101670000,101790000,3
"chr3",101780000,101880000,3
"chr3",102980000,103080000,3
"chr3",103150000,103250000,3
"chr3",103240000,103340000,3
"chr3",103360000,103460000,3
"chr3",104220000,104330000,3
"chr3",104940000,105040000,3
"chr3",105630000,105740000,3
"chr3",105870000,105970000,3
"chr3",106480000,106580000,3
"chr3",106720000,106830000,3
"chr3",106870000,106990000,3
"chr3",107070000,107180000,3
"chr3",107210000,107320000,3
"chr3",107580000,107680000,3
"chr3",108480000,108590000,3
"chr3",108720000,108820000,3
"chr3",110370000,110470000,3
"chr3",111060000,111170000,3
"chr3",111520000,111620000,3
"chr3",111880000,111990000,3
"chr3",112260000,112370000,3
"chr3",112650000,112750000,3
"chr3",112890000,112990000,3
"chr3",113240000,113350000,3
"chr3",113490000,113590000,3
"chr3",115090000,115200000,3
"chr3",115920000,116020000,3
"chr3",116320000,116420000,3
"chr3",116410000,116510000,3
"chr3",116500000,116610000,3
"chr3",116600000,116700000,3
"chr3",118220000,118330000,3
"chr3",118320000,118430000,3
"chr3",118830000,118950000,3
"chr3",118980000,119090000,3
"chr3",119190000,119290000,3
"chr3",120050000,120160000,3
"chr3",120150000,120260000,3
"chr3",120310000,120410000,3
"chr3",121220000,121330000,3
"chr3",121500000,121600000,3
"chr3",122400000,122500000,3
"chr3",123220000,123330000,3
"chr3",124350000,124460000,3
"chr3",124450000,124550000,3
"chr3",124680000,124790000,3
"chr3",125040000,125140000,3
"chr3",125130000,125230000,3
"chr3",125590000,125700000,3
"chr3",125740000,125850000,3
"chr3",126220000,126330000,3
"chr3",126740000,126850000,3
"chr3",127540000,127640000,3
"chr3",128620000,128730000,3
"chr3",129770000,129870000,3
"chr3",129860000,129960000,3
"chr3",130690000,130790000,3
"chr3",131450000,131560000,3
"chr3",132020000,132130000,3
"chr3",132170000,132270000,3
"chr3",132820000,132930000,3
"chr3",133220000,133320000,3
"chr3",133640000,133750000,3
"chr3",133810000,133920000,3
"chr3",134440000,134550000,3
"chr3",135430000,135540000,3
"chr3",136470000,136580000,3
"chr3",136880000,136980000,3
"chr3",136970000,137070000,3
"chr3",137200000,137300000,3
"chr3",138670000,138770000,3
"chr3",138760000,138870000,3
"chr3",139810000,139920000,3
"chr3",139970000,140070000,3
"chr3",140250000,140350000,3
"chr3",142350000,142460000,3
"chr3",142720000,142820000,3
"chr3",143270000,143380000,3
"chr3",143650000,143760000,3
"chr3",143750000,143850000,3
"chr3",143840000,143940000,3
"chr3",143930000,144030000,3
"chr3",145700000,145810000,3
"chr3",146170000,146280000,3
"chr3",146270000,146370000,3
"chr3",146650000,146760000,3
"chr3",147340000,147440000,3
"chr3",147490000,147600000,3
"chr3",147590000,147690000,3
"chr3",148350000,148450000,3
"chr3",149050000,149160000,3
"chr3",149310000,149410000,3
"chr3",150660000,150770000,3
"chr3",150840000,150950000,3
"chr3",150940000,151050000,3
"chr3",151750000,151860000,3
"chr3",151910000,152020000,3
"chr3",152010000,152110000,3
"chr3",152180000,152280000,3
"chr3",152270000,152370000,3
"chr3",152360000,152470000,3
"chr3",152700000,152800000,3
"chr3",152790000,152900000,3
"chr3",153190000,153300000,3
"chr3",154460000,154570000,3
"chr3",155090000,155190000,3
"chr3",155310000,155410000,3
"chr3",155400000,155500000,3
"chr3",155490000,155590000,3
"chr3",156350000,156460000,3
"chr3",157190000,157300000,3
"chr3",157290000,157390000,3
"chr3",158160000,158270000,3
"chr3",159310000,159420000,3
"chr3",159750000,159850000,3
"chr3",159840000,160000000,3
"chr3",160480000,160580000,3
"chr3",160570000,160680000,3
"chr3",160740000,160840000,3
"chr3",161350000,161460000,3
"chr3",161760000,161870000,3
"chr3",162890000,162990000,3
"chr3",162980000,163090000,3
"chr3",163280000,163390000,3
"chr3",163660000,163760000,3
"chr3",163750000,163850000,3
"chr3",163840000,163940000,3
"chr3",164040000,164140000,3
