"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1",3,60000,180000,1
"2",3,180000,300000,1
"3",3,300000,420000,1
"4",3,420000,510000,1
"5",3,510000,650000,1
"6",3,650000,770000,1
"7",3,770000,920000,1
"8",3,920000,1030000,1
"9",3,1030000,1160000,1
"10",3,1160000,1300000,1
"11",3,1300000,1420000,1
"12",3,1420000,1500000,1
"13",3,1500000,1580000,1
"14",3,1580000,1700000,1
"15",3,1700000,1810000,1
"16",3,1810000,1940000,1
"17",3,1940000,2050000,1
"18",3,2050000,2170000,1
"19",3,2170000,2300000,1
"20",3,2300000,2450000,1
"21",3,2450000,2560000,1
"22",3,2560000,2670000,1
"23",3,2670000,2780000,1
"24",3,2780000,2930000,1
"25",3,2930000,3060000,1
"26",3,3060000,3240000,1
"27",3,3240000,3350000,1
"28",3,3350000,3490000,1
"29",3,3490000,3630000,1
"30",3,3630000,3750000,1
"31",3,3750000,3890000,1
"32",3,3890000,4050000,1
"33",3,4050000,4170000,1
"34",3,4170000,4320000,1
"35",3,4320000,4390000,1
"36",3,4390000,4540000,1
"37",3,4540000,4690000,1
"38",3,4690000,4760000,1
"39",3,4760000,4870000,1
"40",3,4870000,5020000,1
"41",3,5020000,5110000,1
"42",3,5110000,5260000,1
"43",3,5260000,5350000,1
"44",3,5350000,5480000,1
"45",3,5480000,5600000,1
"46",3,5600000,5740000,1
"47",3,5740000,5890000,1
"48",3,5890000,6040000,1
"49",3,6040000,6150000,1
"50",3,6150000,6310000,1
"51",3,6310000,6450000,1
"52",3,6450000,6540000,1
"53",3,6540000,6670000,1
"54",3,6670000,6790000,1
"55",3,6790000,6910000,1
"56",3,6910000,7060000,1
"57",3,7060000,7160000,1
"58",3,7160000,7230000,1
"59",3,7230000,7360000,1
"60",3,7360000,7480000,1
"61",3,7480000,7590000,1
"62",3,7590000,7690000,1
"63",3,7690000,7820000,1
"64",3,7820000,7910000,1
"65",3,7910000,7980000,1
"66",3,7980000,8130000,1
"67",3,8130000,8280000,1
"68",3,8280000,8480000,1
"69",3,8480000,8670000,1
"70",3,8670000,8810000,1
"71",3,8810000,9010000,1
"72",3,9010000,9160000,1
"73",3,9160000,9350000,1
"74",3,9350000,9400000,1
"75",3,9400000,9510000,1
"76",3,9550000,9690000,1
"77",3,9690000,9830000,1
"78",3,9830000,9990000,1
"79",3,9990000,10130000,1
"80",3,10130000,10290000,1
"81",3,10290000,10360000,1
"82",3,10360000,10450000,1
"83",3,10450000,10550000,1
"84",3,10550000,10680000,1
"85",3,10680000,10790000,1
"86",3,10810000,10940000,1
"87",3,10940000,11010000,1
"88",3,11010000,11100000,1
"89",3,11100000,11270000,1
"90",3,11270000,11390000,1
"91",3,11390000,11440000,1
"92",3,11440000,11570000,1
"93",3,11570000,11690000,1
"94",3,11690000,11880000,1
"95",3,11880000,11990000,1
"96",3,11990000,12160000,1
"97",3,12160000,12220000,1
"98",3,12220000,12330000,1
"99",3,12330000,12520000,1
"100",3,12520000,12600000,1
"101",3,12600000,12760000,1
"102",3,12760000,12880000,1
"103",3,12880000,13030000,1
"104",3,13030000,13130000,1
"105",3,13130000,13320000,1
"106",3,13320000,13520000,1
"107",3,13520000,13700000,1
"108",3,13700000,13930000,1
"109",3,13940000,14150000,1
"110",3,14150000,14240000,1
"111",3,14240000,14300000,1
"112",3,14300000,14510000,1
"113",3,14510000,14600000,1
"114",3,14600000,14690000,1
"115",3,14690000,14840000,1
"116",3,14840000,14960000,1
"117",3,14960000,15140000,1
"118",3,15140000,15310000,1
"119",3,15310000,15470000,1
"120",3,15470000,15640000,1
"121",3,15640000,15860000,1
"122",3,15860000,16090000,1
"123",3,16090000,16290000,1
"124",3,16290000,16390000,1
"125",3,16390000,16560000,1
"126",3,16560000,16640000,1
"127",3,16640000,16790000,1
"128",3,16790000,16930000,1
"129",3,16930000,17070000,1
"130",3,17070000,17240000,1
"131",3,17240000,17330000,1
"132",3,17330000,17440000,1
"133",3,17440000,17550000,1
"134",3,17550000,17680000,1
"135",3,17680000,17880000,1
"136",3,17880000,18020000,1
"137",3,18020000,18110000,1
"138",3,18110000,18170000,1
"139",3,18170000,18330000,1
"140",3,18330000,18480000,1
"141",3,18480000,18580000,1
"142",3,18580000,18750000,1
"143",3,18750000,18890000,1
"144",3,18890000,19030000,1
"145",3,19030000,19110000,1
"146",3,19110000,19280000,1
"147",3,19280000,19410000,1
"148",3,19410000,19580000,1
"149",3,19580000,19700000,1
"150",3,19700000,19860000,1
"151",3,19860000,19920000,1
"152",3,19920000,19980000,1
"153",3,19980000,20080000,1
"154",3,20080000,20230000,1
"155",3,20230000,20380000,1
"156",3,20380000,20530000,1
"157",3,20530000,20660000,1
"158",3,20660000,20800000,1
"159",3,20800000,20950000,1
"160",3,20950000,21030000,1
"161",3,21030000,21150000,1
"162",3,21150000,21290000,1
"163",3,21290000,21410000,1
"164",3,21410000,21530000,1
"165",3,21530000,21660000,1
"166",3,21660000,21800000,1
"167",3,21800000,21940000,1
"168",3,21940000,22090000,1
"169",3,22090000,22200000,1
"170",3,22200000,22340000,1
"171",3,22340000,22460000,1
"172",3,22460000,22590000,1
"173",3,22590000,22760000,1
"174",3,22760000,22920000,1
"175",3,22920000,23010000,1
"176",3,23010000,23080000,1
"177",3,23080000,23140000,1
"178",3,23140000,23210000,1
"179",3,23250000,23370000,1
"180",3,23370000,23480000,1
"181",3,23480000,23610000,1
"182",3,23610000,23750000,1
"183",3,23750000,23850000,1
"184",3,23850000,24040000,1
"185",3,24040000,24110000,1
"186",3,24110000,24280000,1
"187",3,24280000,24400000,1
"188",3,24400000,24540000,1
"189",3,24540000,24730000,1
"190",3,24730000,24820000,1
"191",3,24820000,24970000,1
"192",3,24970000,25090000,1
"193",3,25090000,25210000,1
"194",3,25210000,25350000,1
"195",3,25350000,25460000,1
"196",3,25460000,25630000,1
"197",3,25630000,25710000,1
"198",3,25710000,25820000,1
"199",3,25820000,25950000,1
"200",3,25950000,26100000,1
"201",3,26100000,26210000,1
"202",3,26210000,26340000,1
"203",3,26340000,26490000,1
"204",3,26490000,26600000,1
"205",3,26600000,26770000,1
"206",3,26770000,26900000,1
"207",3,26900000,27030000,1
"208",3,27030000,27150000,1
"209",3,27150000,27320000,1
"210",3,27330000,27750000,1
"211",3,27750000,27930000,1
"212",3,27930000,28070000,1
"213",3,28070000,28230000,1
"214",3,28230000,28390000,1
"215",3,28390000,28510000,1
"216",3,28510000,28650000,1
"217",3,28650000,28770000,1
"218",3,28770000,28940000,1
"219",3,28940000,29060000,1
"220",3,29060000,29200000,1
"221",3,29200000,29330000,1
"222",3,29330000,29450000,1
"223",3,29450000,29580000,1
"224",3,29580000,29730000,1
"225",3,29730000,29810000,1
"226",3,29810000,29980000,1
"227",3,29980000,30080000,1
"228",3,30080000,30240000,1
"229",3,30240000,30390000,1
"230",3,30390000,30550000,1
"231",3,30550000,30730000,1
"232",3,30730000,30810000,1
"233",3,30810000,30980000,1
"234",3,30980000,31180000,1
"235",3,31180000,31310000,1
"236",3,31310000,31450000,1
"237",3,31450000,31570000,1
"238",3,31570000,31690000,1
"239",3,31690000,31820000,1
"240",3,31820000,31910000,1
"241",3,31910000,32020000,1
"242",3,32020000,32210000,1
"243",3,32210000,32380000,1
"244",3,32380000,32550000,1
"245",3,32550000,32710000,1
"246",3,32710000,32820000,1
"247",3,32820000,32990000,1
"248",3,32990000,33140000,1
"249",3,33140000,33320000,1
"250",3,33320000,33420000,1
"251",3,33420000,33480000,1
"252",3,33480000,33620000,1
"253",3,33620000,33830000,1
"254",3,33830000,33920000,1
