"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1",3,60000,190000,1
"2",3,190000,300000,1
"3",3,300000,440000,1
"4",3,440000,590000,1
"5",3,590000,660000,1
"6",3,660000,780000,1
"7",3,780000,920000,1
"8",3,920000,1080000,1
"9",3,1080000,1210000,1
"10",3,1210000,1340000,1
"11",3,1340000,1450000,1
"12",3,1450000,1570000,1
"13",3,1570000,1690000,1
"14",3,1690000,1850000,1
"15",3,1850000,2000000,1
"16",3,2000000,2140000,1
"17",3,2140000,2260000,1
"18",3,2260000,2340000,1
"19",3,2340000,2450000,1
"20",3,2450000,2590000,1
"21",3,2590000,2700000,1
"22",3,2700000,2810000,1
"23",3,2810000,2940000,1
"24",3,2940000,3060000,1
"25",3,3060000,3150000,1
"26",3,3150000,3230000,1
"27",3,3500000,3840000,1
"28",3,3840000,4040000,1
"29",3,4040000,4170000,1
"30",3,4170000,4340000,1
"31",3,4380000,4530000,1
"32",3,4530000,4690000,1
"33",3,4690000,4760000,1
"34",3,4770000,5070000,1
"35",3,5070000,5230000,1
"36",3,5230000,5340000,1
"37",3,5340000,5470000,1
"38",3,5470000,5610000,1
"39",3,5610000,5760000,1
"40",3,5760000,5890000,1
"41",3,5890000,6020000,1
"42",3,6020000,6140000,1
"43",3,6140000,6260000,1
"44",3,6260000,6390000,1
"45",3,6390000,6480000,1
"46",3,6480000,6560000,1
"47",3,6560000,6670000,1
"48",3,6670000,6820000,1
"49",3,6820000,6970000,1
"50",3,6970000,7120000,1
"51",3,7120000,7240000,1
"52",3,7240000,7390000,1
"53",3,7390000,7490000,1
"54",3,7490000,7610000,1
"55",3,7610000,7730000,1
"56",3,7730000,7840000,1
"57",3,7840000,7980000,1
"58",3,7980000,8150000,1
"59",3,8150000,8270000,1
"60",3,8270000,8360000,1
"61",3,8360000,8460000,1
"62",3,8460000,8670000,1
"63",3,8670000,8740000,1
"64",3,8740000,8920000,1
"65",3,8920000,9010000,1
"66",3,9010000,9120000,1
"67",3,9120000,9280000,1
"68",3,9280000,9390000,1
"69",3,9390000,9540000,1
"70",3,9540000,9690000,1
"71",3,9690000,9830000,1
"72",3,9830000,9960000,1
"73",3,9960000,10080000,1
"74",3,10080000,10180000,1
"75",3,10180000,10360000,1
"76",3,10360000,10480000,1
"77",3,10480000,10600000,1
"78",3,10600000,10700000,1
"79",3,10700000,10790000,1
"80",3,10790000,10930000,1
"81",3,10930000,11080000,1
"82",3,11080000,11270000,1
"83",3,11270000,11420000,1
"84",3,11420000,11600000,1
"85",3,11600000,11690000,1
"86",3,11690000,11890000,1
"87",3,11890000,12030000,1
"88",3,12030000,12170000,1
"89",3,12170000,12290000,1
"90",3,12290000,12520000,1
"91",3,12520000,12600000,1
"92",3,12600000,12740000,1
"93",3,12740000,12890000,1
"94",3,12890000,13030000,1
"95",3,13030000,13140000,1
"96",3,13150000,13340000,1
"97",3,13340000,13510000,1
"98",3,13510000,13700000,1
"99",3,13710000,13930000,1
"100",3,13930000,14160000,1
"101",3,14160000,14240000,1
"102",3,14250000,14530000,1
"103",3,14530000,14690000,1
"104",3,14690000,14800000,1
"105",3,14800000,14960000,1
"106",3,14960000,15140000,1
"107",3,15140000,15310000,1
"108",3,15310000,15450000,1
"109",3,15450000,15600000,1
"110",3,15600000,15710000,1
"111",3,15710000,15860000,1
"112",3,15900000,16090000,1
"113",3,16090000,16300000,1
"114",3,16300000,16390000,1
"115",3,16390000,16590000,1
"116",3,16590000,16640000,1
"117",3,16640000,16800000,1
"118",3,16800000,16920000,1
"119",3,16920000,17080000,1
"120",3,17080000,17230000,1
"121",3,17230000,17290000,1
"122",3,17290000,17460000,1
"123",3,17460000,17520000,1
"124",3,17520000,17600000,1
"125",3,17600000,17740000,1
"126",3,17740000,17890000,1
"127",3,17890000,18010000,1
"128",3,18010000,18130000,1
"129",3,18130000,18210000,1
"130",3,18210000,18370000,1
"131",3,18370000,18470000,1
"132",3,18470000,18600000,1
"133",3,18600000,18800000,1
"134",3,18800000,18900000,1
"135",3,18900000,19020000,1
"136",3,19020000,19140000,1
"137",3,19140000,19260000,1
"138",3,19260000,19370000,1
"139",3,19370000,19540000,1
"140",3,19540000,19670000,1
"141",3,19670000,19820000,1
"142",3,19820000,19920000,1
"143",3,19920000,19980000,1
"144",3,19980000,20100000,1
"145",3,20100000,20230000,1
"146",3,20230000,20380000,1
"147",3,20380000,20540000,1
"148",3,20540000,20590000,1
"149",3,20590000,20650000,1
"150",3,20650000,20720000,1
"151",3,20720000,20860000,1
"152",3,20860000,20980000,1
"153",3,20980000,21100000,1
"154",3,21100000,21240000,1
"155",3,21240000,21370000,1
"156",3,21370000,21520000,1
"157",3,21520000,21640000,1
"158",3,21640000,21770000,1
"159",3,21770000,21920000,1
"160",3,21920000,22060000,1
"161",3,22060000,22230000,1
"162",3,22230000,22380000,1
"163",3,22380000,22510000,1
"164",3,22510000,22630000,1
"165",3,22630000,22750000,1
"166",3,22750000,22930000,1
"167",3,22930000,23010000,1
"168",3,23010000,23080000,1
"169",3,23080000,23200000,1
"170",3,23200000,23370000,1
"171",3,23370000,23470000,1
"172",3,23470000,23560000,1
"173",3,23590000,23650000,1
"174",3,23650000,23710000,1
"175",3,23710000,23850000,1
"176",3,23850000,23930000,1
"177",3,23930000,24040000,1
"178",3,24060000,24210000,1
"179",3,24210000,24300000,1
"180",3,24310000,24730000,1
"181",3,24730000,24810000,1
"182",3,24810000,24980000,1
"183",3,24980000,25100000,1
"184",3,25100000,25210000,1
"185",3,25210000,25330000,1
"186",3,25330000,25450000,1
"187",3,25450000,25640000,1
"188",3,25640000,25710000,1
"189",3,25710000,25820000,1
"190",3,25820000,25970000,1
"191",3,25970000,26090000,1
"192",3,26090000,26210000,1
"193",3,26210000,26320000,1
"194",3,26320000,26430000,1
"195",3,26430000,26570000,1
"196",3,26570000,26750000,1
"197",3,26750000,26910000,1
"198",3,26910000,27060000,1
"199",3,27060000,27170000,1
"200",3,27170000,27350000,1
"201",3,27350000,27400000,1
"202",3,27400000,27520000,1
"203",3,27520000,27730000,1
"204",3,27730000,27880000,1
"205",3,27880000,28000000,1
"206",3,28000000,28110000,1
"207",3,28110000,28280000,1
"208",3,28280000,28390000,1
"209",3,28390000,28500000,1
"210",3,28500000,28660000,1
"211",3,28660000,28780000,1
"212",3,28780000,28920000,1
"213",3,28920000,29050000,1
"214",3,29050000,29100000,1
"215",3,29100000,29190000,1
"216",3,29190000,29320000,1
"217",3,29320000,29430000,1
"218",3,29430000,29560000,1
"219",3,29560000,29670000,1
"220",3,29670000,29800000,1
"221",3,29800000,29920000,1
"222",3,29920000,30050000,1
"223",3,30050000,30250000,1
"224",3,30250000,30330000,1
"225",3,30330000,30410000,1
"226",3,30410000,30550000,1
"227",3,30550000,30670000,1
"228",3,30670000,30730000,1
"229",3,30730000,30830000,1
"230",3,30830000,30950000,1
"231",3,30950000,31090000,1
"232",3,31090000,31170000,1
"233",3,31170000,31230000,1
"234",3,31230000,31340000,1
"235",3,31340000,31490000,1
"236",3,31490000,31570000,1
"237",3,31570000,31650000,1
"238",3,31650000,31750000,1
"239",3,31750000,31850000,1
"240",3,31850000,31920000,1
"241",3,31920000,32020000,1
"242",3,32020000,32200000,1
"243",3,32200000,32340000,1
"244",3,32340000,32540000,1
"245",3,32540000,32720000,1
"246",3,32720000,32820000,1
"247",3,32820000,32980000,1
"248",3,32980000,33140000,1
"249",3,33140000,33280000,1
"250",3,33280000,33430000,1
"251",3,33430000,33480000,1
"252",3,33480000,33580000,1
"253",3,33580000,33680000,1
"254",3,33680000,33840000,1
"255",3,33840000,33920000,1
"256",3,33920000,34050000,1
"257",3,34050000,34180000,1
"258",3,34180000,34290000,1
"259",3,34290000,34430000,1
"260",3,34430000,34550000,1
"261",3,34550000,34660000,1
"262",3,34660000,34780000,1
"263",3,34780000,34880000,1
"264",3,34880000,34990000,1
"265",3,34990000,35140000,1
"266",3,35140000,35300000,1
"267",3,35300000,35430000,1
"268",3,35430000,35560000,1
"269",3,35560000,35720000,1
"270",3,35720000,35870000,1
"271",3,35870000,35990000,1
"272",3,35990000,36140000,1
"273",3,36140000,36260000,1
"274",3,36260000,36410000,1
"275",3,36410000,36550000,1
"276",3,36550000,36740000,1
"277",3,36740000,36910000,1
"278",3,36910000,37040000,1
"279",3,37040000,37150000,1
"280",3,37150000,37220000,1
"281",3,37220000,37400000,1
"282",3,37400000,37480000,1
"283",3,37480000,37590000,1
"284",3,37590000,37750000,1
"285",3,37750000,37860000,1
"286",3,37860000,38050000,1
"287",3,38050000,38150000,1
"288",3,38150000,38340000,1
"289",3,38340000,38490000,1
"290",3,38490000,38560000,1
"291",3,38560000,38690000,1
"292",3,38690000,38800000,1
"293",3,38800000,38980000,1
"294",3,38980000,39100000,1
"295",3,39100000,39230000,1
"296",3,39230000,39330000,1
"297",3,39330000,39430000,1
"298",3,39430000,39550000,1
"299",3,39550000,39700000,1
"300",3,39700000,39820000,1
"301",3,39820000,39930000,1
"302",3,39930000,40040000,1
"303",3,40040000,40220000,1
"304",3,40220000,40360000,1
"305",3,40360000,40500000,1
"306",3,40500000,40610000,1
"307",3,40610000,40760000,1
"308",3,40760000,40920000,1
