"chr","start","end","Level"
"chr3",520000,620000,3
"chr3",820000,920000,3
"chr3",2230000,2330000,3
"chr3",3670000,3780000,3
"chr3",4700000,4800000,3
"chr3",5280000,5380000,3
"chr3",5830000,5940000,3
"chr3",5970000,6070000,3
"chr3",6180000,6280000,3
"chr3",6530000,6630000,3
"chr3",6660000,6760000,3
"chr3",6750000,6860000,3
"chr3",6850000,6960000,3
"chr3",7020000,7120000,3
"chr3",7110000,7210000,3
"chr3",7530000,7630000,3
"chr3",7620000,7730000,3
"chr3",7980000,8080000,3
"chr3",8150000,8250000,3
"chr3",8240000,8340000,3
"chr3",8790000,8900000,3
"chr3",8970000,9080000,3
"chr3",9070000,9180000,3
"chr3",10010000,10110000,3
"chr3",10260000,10370000,3
"chr3",11070000,11180000,3
"chr3",11170000,11280000,3
"chr3",11540000,11640000,3
"chr3",11870000,11980000,3
"chr3",12050000,12160000,3
"chr3",12750000,12850000,3
"chr3",14570000,14680000,3
"chr3",14670000,14770000,3
"chr3",14760000,14870000,3
"chr3",15240000,15350000,3
"chr3",15450000,15550000,3
"chr3",16020000,16130000,3
"chr3",16310000,16410000,3
"chr3",16690000,16790000,3
"chr3",17190000,17300000,3
"chr3",17290000,17390000,3
"chr3",17570000,17680000,3
"chr3",17730000,17830000,3
"chr3",17820000,17920000,3
"chr3",18090000,18200000,3
"chr3",19210000,19310000,3
"chr3",19360000,19470000,3
"chr3",19710000,19820000,3
"chr3",20120000,20220000,3
"chr3",20220000,20320000,3
"chr3",20310000,20430000,3
"chr3",20480000,20580000,3
"chr3",21270000,21370000,3
"chr3",21900000,22000000,3
"chr3",22560000,22660000,3
"chr3",22650000,22760000,3
"chr3",23420000,23530000,3
"chr3",23730000,23830000,3
"chr3",24120000,24220000,3
"chr3",24280000,24390000,3
"chr3",24280000,24390000,3
"chr3",25530000,25630000,3
"chr3",26350000,26450000,3
"chr3",27030000,27130000,3
"chr3",27730000,27830000,3
"chr3",28160000,28260000,3
"chr3",28310000,28420000,3
"chr3",28410000,28520000,3
"chr3",28680000,28780000,3
"chr3",28970000,29080000,3
